Round,Event,Driver,PitLap,InLap,t_inlap,t_outlap,t_old,t_new,pit_loss_s,green
1,Australian Grand Prix,NOR,10.0,11.0,103.391,118.075,85.411,83.97633333333333,52.07866666666668,False
1,Australian Grand Prix,NOR,33.0,34.0,112.732,89.434,84.31966666666666,83.39833333333333,34.44800000000001,False
1,Australian Grand Prix,GAS,10.0,11.0,104.821,118.072,85.69133333333333,85.087,52.114666666666665,False
1,Australian Grand Prix,PER,17.0,18.0,126.084,103.359,89.343,87.61166666666668,52.488333333333316,False
1,Australian Grand Prix,PER,42.0,43.0,105.049,93.422,88.791,86.82633333333332,22.853666666666683,True
1,Australian Grand Prix,LEC,24.0,25.0,97.834,89.317,83.51733333333333,83.06066666666666,20.573000000000008,True
1,Australian Grand Prix,STR,10.0,11.0,132.251,118.206,87.77666666666669,87.08333333333333,75.597,False
1,Australian Grand Prix,STR,25.0,26.0,118.866,97.514,87.88866666666667,86.51799999999999,41.97333333333334,True
1,Australian Grand Prix,ALB,10.0,12.0,125.578,112.348,85.77199999999999,86.28266666666666,65.87133333333335,False
1,Australian Grand Prix,ALB,32.0,33.0,110.03,90.918,86.48466666666667,84.62433333333333,29.839000000000013,False
1,Australian Grand Prix,VER,17.0,18.0,108.547,116.349,84.48700000000001,83.52,56.888999999999996,False
1,Australian Grand Prix,VER,40.0,41.0,98.866,87.991,84.074,82.35466666666666,20.42833333333334,True
1,Australian Grand Prix,LAW,10.0,11.0,110.026,130.384,85.88799999999999,87.31433333333332,67.20766666666667,False
1,Australian Grand Prix,LAW,32.0,33.0,114.107,90.927,85.76966666666665,85.55933333333333,33.70500000000003,False
1,Australian Grand Prix,OCO,10.0,11.0,105.949,116.405,85.40433333333334,85.36433333333333,51.585333333333324,False
1,Australian Grand Prix,LIN,17.0,18.0,108.224,117.225,85.29033333333332,84.632,55.52666666666667,False
1,Australian Grand Prix,COL,45.0,46.0,102.911,90.309,85.18666666666665,83.302,24.73133333333334,True
1,Australian Grand Prix,HAM,27.0,28.0,99.578,89.135,83.835,83.26266666666668,21.61533333333334,True
1,Australian Grand Prix,BOR,17.0,18.0,110.359,115.679,84.95333333333333,84.891,56.19366666666666,False
1,Australian Grand Prix,BOR,32.0,33.0,104.235,93.286,84.165,83.78033333333333,29.575666666666663,False
1,Australian Grand Prix,SAI,10.0,11.0,106.912,116.846,85.82033333333334,84.897,53.04066666666667,False
