Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
1,ALB,BOR,10,17,7,3.743000000000393,MEDIUM>HARD,9.0,36.20577908669843,9.0,MEDIUM,True,13,12,20,13,9,False,0.16500000000000625,1.1286873641837631,8.26732640042945,1.2630645184965434,4.524326400429057,-2.4799354815038495,4.0,True,False
1,BEA,VER,17,40,23,1.8469999999997526,MEDIUM>HARD,16.0,36.58846188498693,16.0,HARD,False,7,6,43,7,6,False,0.5656666666666581,1.142806571531418,20.75539800279662,1.2559198284721111,18.90839800279687,-0.5910801715276415,2.0,True,False
1,LAW,SAI,10,32,22,3.2710000000006403,MEDIUM>HARD,9.0,36.20577908669843,9.0,SOFT,False,15,14,35,14,15,True,0.5333333333333456,1.1286873641837631,22.385160912473687,1.2630645184965434,19.114160912473046,-2.007935481504097,3.0,True,False
1,LAW,SAI,32,44,12,7.087999999999738,HARD>SOFT,20.0,36.61301838109965,20.0,HARD,True,14,13,48,13,15,True,-1.695999999999998,1.2722150789107571,13.63439215576604,1.3769883465755302,6.546392155766302,-5.711011653424208,6.0,True,False
1,NOR,LIN,10,17,7,0.45899999999983265,MEDIUM>HARD,9.0,36.20577908669843,9.0,MEDIUM,True,7,6,21,5,7,True,0.041666666666671404,1.1286873641837631,8.26732640042945,1.2630645184965434,7.808326400429618,0.8040645184967108,1.0,True,False
1,OCO,NOR,10,33,23,2.373000000000502,MEDIUM>HARD,9.0,36.20577908669843,9.0,MEDIUM,True,8,7,36,10,8,False,-0.08266666666666822,1.1286873641837631,23.272433264653145,1.2630645184965434,20.899433264652643,-1.1099354815039586,2.0,True,False
1,PER,SAI,42,44,2,46.63599999999951,HARD>SOFT,23.0,36.56922236672409,8.0,MEDIUM,False,16,15,48,16,15,False,1.7703333333333262,1.2705992105970128,2.4075755172497257,1.2159385571231984,-44.22842448274979,-45.42006144287632,,False,False
1,RUS,LEC,11,24,13,0.7080000000005384,MEDIUM>HARD,10.0,36.21333150873122,10.0,MEDIUM,True,2,1,27,2,4,True,0.04599999999999227,1.1289660132715584,14.053039619584695,1.260305467959755,13.345039619584156,0.5523054679592165,1.0,True,False
1,SAI,ALB,10,32,22,1.1809999999995853,SOFT>HARD,9.0,36.20577908669843,9.0,MEDIUM,False,14,13,35,15,12,False,-0.005666666666670039,1.1244005996595363,22.29085209294069,1.2587777539723166,21.109852092941104,0.07777775397273134,1.0,True,False
1,SAI,COL,44,45,1,0.6869999999998981,MEDIUM>SOFT,10.0,36.53771580533918,43.0,HARD,False,15,14,48,15,14,False,0.0800000000000125,0.46506879691725617,0.699672099072609,0.699672099072609,0.01267209907271083,0.01267209907271083,1.0,True,False
4,ANT,NOR,25,26,1,2.774000000000342,MEDIUM>HARD,24.0,38.53057167034027,24.0,MEDIUM,True,2,1,29,1,2,True,-0.22133333333334804,1.1115936116023934,1.2346834945411216,1.2346834945411216,-1.5393165054592204,-1.5393165054592204,,False,False
4,BEA,ALB,25,26,1,2.688000000000102,MEDIUM>HARD,24.0,38.53057167034027,24.0,MEDIUM,True,11,10,29,13,12,False,0.2696666666666516,1.1115936116023934,1.2346834945411216,1.2346834945411216,-1.4533165054589803,-1.4533165054589803,,False,False
4,BOT,PER,20,28,8,2.074999999999818,SOFT>MEDIUM,13.0,39.17176563179955,19.0,MEDIUM,False,16,15,32,18,16,False,0.3293333333333237,0.5474840643682627,4.52682951247008,0.7634389649758828,2.451829512470262,-1.3115610350239353,3.0,True,False
4,BOT,STR,29,36,7,2.1469999999999345,MEDIUM>MEDIUM,7.0,38.35043380992113,10.0,SOFT,False,18,17,39,18,17,False,0.5659999999999883,0.8095153830329186,6.899696932477095,1.08555756354106,4.752696932477161,-1.0614424364588746,3.0,True,False
4,HAM,PIA,26,27,1,4.570999999999913,MEDIUM>HARD,25.0,38.45361423264986,25.0,MEDIUM,True,4,3,30,8,7,False,0.050666666666657534,1.1085506066411814,1.2316404895799096,1.2316404895799096,-3.339359510420003,-3.339359510420003,,False,False
4,LEC,ANT,20,25,5,3.6289999999999054,MEDIUM>HARD,19.0,39.17176563179955,19.0,MEDIUM,True,3,2,28,7,2,False,1.0153333333333308,1.1369473196308384,5.719336058575183,1.2633149763464036,2.0903360585752777,-2.365685023653502,4.0,True,False
