Round,Event,Driver,PitLap,age_old,race_laps,open_lap,close_lap,width,has_window,inside,laps_outside
1,,ALB,10,9.0,58.0,2.0,31.0,30.0,True,True,0.0
1,,ALB,32,19.0,58.0,14.0,36.0,23.0,True,True,0.0
1,,BEA,17,16.0,58.0,2.0,28.0,27.0,True,True,0.0
1,,BOR,17,16.0,58.0,2.0,32.0,31.0,True,True,0.0
1,,BOR,32,13.0,58.0,20.0,40.0,21.0,True,True,0.0
1,,COL,45,44.0,58.0,2.0,31.0,30.0,True,False,14.0
1,,GAS,10,9.0,58.0,2.0,39.0,38.0,True,True,0.0
1,,HAM,27,26.0,58.0,2.0,33.0,32.0,True,True,0.0
1,,LAW,10,9.0,58.0,2.0,27.0,26.0,True,True,0.0
1,,LAW,32,20.0,58.0,13.0,31.0,19.0,True,False,1.0
1,,LEC,24,23.0,58.0,2.0,33.0,32.0,True,True,0.0
1,,LIN,17,16.0,58.0,2.0,32.0,31.0,True,True,0.0
1,,NOR,10,9.0,58.0,2.0,41.0,40.0,True,True,0.0
1,,NOR,33,21.0,58.0,13.0,41.0,29.0,True,True,0.0
1,,OCO,10,9.0,58.0,2.0,31.0,30.0,True,True,0.0
1,,PER,17,16.0,58.0,2.0,33.0,32.0,True,True,0.0
1,,PER,42,23.0,58.0,20.0,36.0,17.0,True,False,6.0
1,,RUS,11,10.0,58.0,2.0,40.0,39.0,True,True,0.0
1,,SAI,10,9.0,58.0,2.0,33.0,32.0,True,True,0.0
1,,SAI,32,20.0,58.0,13.0,43.0,31.0,True,True,0.0
1,,SAI,44,10.0,58.0,35.0,35.0,1.0,True,False,9.0
1,,STR,10,9.0,58.0,2.0,33.0,32.0,True,True,0.0
1,,STR,25,13.0,58.0,13.0,36.0,24.0,True,True,0.0
1,,VER,17,16.0,58.0,2.0,44.0,43.0,True,True,0.0
1,,VER,40,21.0,58.0,20.0,34.0,15.0,True,False,6.0
2,,COL,31,30.0,56.0,2.0,19.0,18.0,True,False,12.0
2,,HUL,34,32.333333333333336,56.0,3.0,16.0,14.0,True,False,18.0
2,,LIN,41,40.0,56.0,2.0,14.0,13.0,True,False,27.0
2,,OCO,45,,,,,,False,False,
3,,COL,16,15.0,53.0,2.0,13.0,12.0,True,False,3.0
3,,LEC,16,15.0,53.0,2.0,15.0,14.0,True,False,1.0
3,,LIN,17,16.0,53.0,2.0,8.0,7.0,True,False,9.0
3,,NOR,15,14.0,53.0,2.0,17.0,16.0,True,True,0.0
3,,PIA,17,16.0,53.0,2.0,9.0,8.0,True,False,8.0
4,,ALB,26,25.0,57.0,2.0,29.0,28.0,True,True,0.0
4,,ALO,40,39.0,57.0,2.0,2.0,1.0,True,False,38.0
4,,ANT,25,24.0,57.0,2.0,20.0,19.0,True,False,5.0
4,,BEA,25,24.0,57.0,2.0,26.0,25.0,True,True,0.0
4,,BOR,31,30.0,57.0,2.0,30.0,29.0,True,False,1.0
4,,BOT,20,13.0,57.0,8.0,9.0,2.0,True,False,11.0
4,,BOT,29,7.0,57.0,23.0,27.0,5.0,True,False,2.0
4,,COL,30,29.0,57.0,2.0,30.0,29.0,True,True,0.0
4,,HAM,26,25.0,57.0,2.0,31.0,30.0,True,True,0.0
4,,LEC,20,19.0,57.0,2.0,12.0,11.0,True,False,8.0
4,,LIN,27,26.0,57.0,2.0,29.0,28.0,True,True,0.0
4,,NOR,26,25.0,57.0,2.0,16.0,15.0,True,False,10.0
4,,OCO,30,29.0,57.0,2.0,31.0,30.0,True,True,0.0
4,,PER,28,27.0,57.0,2.0,30.0,29.0,True,True,0.0
4,,PIA,27,26.0,57.0,2.0,22.0,21.0,True,False,5.0
4,,RUS,19,18.0,57.0,2.0,22.0,21.0,True,True,0.0
4,,SAI,27,26.0,57.0,2.0,32.0,31.0,True,True,0.0
4,,STR,20,19.0,57.0,2.0,3.0,2.0,True,False,17.0
4,,STR,36,17.0,57.0,20.0,28.0,9.0,True,False,8.0
5,,ANT,29,32.0,68.0,11.0,18.0,8.0,True,False,11.0
5,,BEA,28,,,,,,False,False,
5,,BOR,17,,,,,,False,False,
5,,BOT,27,17.0,68.0,11.0,13.0,3.0,True,False,14.0
